track_number,track_titles
1,Fortnight (feat. Post Malone) | Fortnight (feat. Post Malone) | Welcome To New York (Taylor's Version) | Welcome To New York (Taylor's Version) | Mine (Taylor's Version) | Lavender Haze | Lavender Haze | Lavender Haze | State Of Grace (Taylor's Version) | Fearless (Taylor’s Version) | willow | willow | the 1 | the 1 - the long pond studio sessions | the 1 | the 1 | I Forgot That You Existed | ...Ready For It? | All Too Well | Welcome To New York | Welcome To New York
2,The Tortured Poets Department | The Tortured Poets Department | Blank Space (Taylor's Version) | Blank Space (Taylor's Version) | Sparks Fly (Taylor’s Version) | Maroon | Maroon | Maroon | Red (Taylor's Version) | Fifteen (Taylor’s Version) | champagne problems | champagne problems | cardigan | cardigan - the long pond studio sessions | cardigan | cardigan | Cruel Summer | End Game | Wildest Dreams | Blank Space | Blank Space
3,My Boy Only Breaks His Favorite Toys | My Boy Only Breaks His Favorite Toys | Style (Taylor's Version) | Style (Taylor's Version) | Back To December (Taylor's Version) | Anti-Hero | Anti-Hero | Anti-Hero | Treacherous (Taylor's Version) | Love Story (Taylor’s Version) | gold rush | gold rush | the last great american dynasty | the last great american dynasty - the long pond studio sessions | the last great american dynasty | the last great american dynasty | Lover | I Did Something Bad | The Best Day | Style | Style
4,Down Bad | Down Bad | Out Of The Woods (Taylor's Version) | Out Of The Woods (Taylor's Version) | Speak Now (Taylor's Version) | Snow On The Beach (feat. Lana Del Rey) | Snow On The Beach (feat. Lana Del Rey) | Snow On The Beach (feat. Lana Del Rey) | I Knew You Were Trouble (Taylor's Version) | Hey Stephen (Taylor’s Version) | ‘tis the damn season | ‘tis the damn season | exile (feat. Bon Iver) | exile (feat. Bon Iver) - the long pond studio sessions | exile (feat. Bon Iver) | exile (feat. Bon Iver) | The Man | Don’t Blame Me | Red | Out Of The Woods | Out Of The Woods
5,"So Long, London | So Long, London | All You Had To Do Was Stay (Taylor's Version) | All You Had To Do Was Stay (Taylor's Version) | Dear John (Taylor's Version) | You're On Your Own, Kid | You're On Your Own, Kid | You're On Your Own, Kid | All Too Well (Taylor's Version) | White Horse (Taylor’s Version) | tolerate it | tolerate it | my tears ricochet | my tears ricochet - the long pond studio sessions | my tears ricochet | my tears ricochet | The Archer | Delicate | Holy Ground | All You Had To Do Was Stay | All You Had To Do Was Stay"
6,"But Daddy I Love Him | But Daddy I Love Him | Shake It Off (Taylor's Version) | Shake It Off (Taylor's Version) | Mean (Taylor's Version) | Midnight Rain | Midnight Rain | Midnight Rain | 22 (Taylor's Version) | You Belong With Me (Taylor’s Version) | no body, no crime (feat. HAIM) | no body, no crime (feat. HAIM) | mirrorball | mirrorball - the long pond studio sessions | mirrorball | mirrorball | I Think He Knows | Look What You Made Me Do | Teardrops On My Guitar - Radio Single Remix | Shake It Off | Shake It Off"
7,Fresh Out The Slammer | Fresh Out The Slammer | I Wish You Would (Taylor's Version) | I Wish You Would (Taylor's Version) | The Story Of Us (Taylor's Version) | Question...? | Question...? | Question...? | I Almost Do (Taylor's Version) | Breathe (feat. Colbie Caillat) (Taylor’s Version) | happiness | happiness | seven | seven - the long pond studio sessions | seven | seven | Miss Americana & The Heartbreak Prince | So It Goes... | Our Song | I Wish You Would | I Wish You Would
8,Florida!!! (feat. Florence + The Machine) | Florida!!! (feat. Florence + The Machine) | Bad Blood (Taylor's Version) | Bad Blood (Taylor's Version) | Never Grow Up (Taylor's Version) | Vigilante Shit | Vigilante Shit | Vigilante Shit | We Are Never Ever Getting Back Together (Taylor's Version) | Tell Me Why (Taylor’s Version) | dorothea | dorothea | august | august - the long pond studio sessions | august | august | Paper Rings | Gorgeous | 22 | Bad Blood | Bad Blood
9,Guilty as Sin? | Guilty as Sin? | Wildest Dreams (Taylor's Version) | Wildest Dreams (Taylor's Version) | Enchanted (Taylor's Version) | Bejeweled | Bejeweled | Bejeweled | Stay Stay Stay (Taylor's Version) | You’re Not Sorry (Taylor’s Version) | coney island (feat. The National) | coney island (feat. The National) | this is me trying | this is me trying - the long pond studio sessions | this is me trying | this is me trying | Cornelia Street | Getaway Car | I Knew You Were Trouble. | Wildest Dreams | Wildest Dreams
10,Who’s Afraid of Little Old Me? | Who’s Afraid of Little Old Me? | How You Get The Girl (Taylor's Version) | How You Get The Girl (Taylor's Version) | Better Than Revenge (Taylor's Version) | Labyrinth | Labyrinth | Labyrinth | The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version) | The Way I Loved You (Taylor’s Version) | ivy | ivy | illicit affairs | illicit affairs - the long pond studio sessions | illicit affairs | illicit affairs | Death By A Thousand Cuts | King Of My Heart | I Don’t Wanna Live Forever (Fifty Shades Darker) | How You Get The Girl | How You Get The Girl
11,I Can Fix Him (No Really I Can) | I Can Fix Him (No Really I Can) | This Love (Taylor’s Version) | This Love (Taylor’s Version) | Innocent (Taylor's Version) | Karma | Karma | Karma | Holy Ground (Taylor's Version) | Forever & Always (Taylor’s Version) | cowboy like me | cowboy like me | invisible string | invisible string - the long pond studio sessions | invisible string | invisible string | London Boy | Dancing With Our Hands Tied | Mean | This Love | This Love
12,loml | loml | I Know Places (Taylor's Version) | I Know Places (Taylor's Version) | Haunted (Taylor's Version) | Sweet Nothing | Sweet Nothing | Sweet Nothing | Sad Beautiful Tragic (Taylor's Version) | The Best Day (Taylor’s Version) | long story short | long story short | mad woman | mad woman - the long pond studio sessions | mad woman | mad woman | Soon You’ll Get Better (feat. The Chicks) | Dress | How You Get The Girl | I Know Places | I Know Places
13,I Can Do It With a Broken Heart | I Can Do It With a Broken Heart | Clean (Taylor's Version) | Clean (Taylor's Version) | Last Kiss (Taylor's Version) | Mastermind | Mastermind | Mastermind | The Lucky One (Taylor's Version) | Change (Taylor’s Version) | marjorie | marjorie | epiphany | epiphany - the long pond studio sessions | epiphany | epiphany | False God | This Is Why We Can't Have Nice Things | So It Goes... | Clean | Clean
14,The Smallest Man Who Ever Lived | The Smallest Man Who Ever Lived | Wonderland (Taylor's Version) | Wonderland (Taylor's Version) | Long Live (Taylor's Version) | The Great War | The Great War | Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version) | Jump Then Fall (Taylor’s Version) | closure | closure | betty | betty - the long pond studio sessions | betty | betty | You Need To Calm Down | Call It What You Want | Fifteen | Wonderland
15,The Alchemy | The Alchemy | You Are In Love (Taylor's Version) | You Are In Love (Taylor's Version) | Ours (Taylor’s Version) | Bigger Than The Whole Sky | Bigger Than The Whole Sky | Starlight (Taylor's Version) | Untouchable (Taylor’s Version) | evermore (feat. Bon Iver) | evermore (feat. Bon Iver) | peace | peace - the long pond studio sessions | peace | peace | Afterglow | New Year’s Day | Mine | You Are In Love
16,Clara Bow | Clara Bow | New Romantics (Taylor's Version) | New Romantics (Taylor's Version) | Superman (Taylor’s Version) | Paris | Paris | Begin Again (Taylor's Version) | Forever & Always (Piano Version) (Taylor’s Version) | right where you left me - bonus track | hoax | hoax - the long pond studio sessions | hoax | hoax | ME! (feat. Brendon Urie of Panic! At The Disco) | Sparks Fly | New Romantics
17,"The Black Dog | ""Slut!"" (Taylor's Version) (From The Vault) | ""Slut!"" (Taylor's Version) (From The Vault) | Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault) | High Infidelity | High Infidelity | The Moment I Knew (Taylor's Version) | Come In With The Rain (Taylor’s Version) | it’s time to go - bonus track | the lakes - bonus track | the lakes - the long pond studio sessions | the lakes - bonus track | It’s Nice To Have A Friend | State Of Grace | I Know Places - Voice Memo"
18,imgonnagetyouback | Say Don't Go (Taylor's Version) (From The Vault) | Say Don't Go (Taylor's Version) (From The Vault) | When Emma Falls in Love (Taylor’s Version) (From The Vault) | Glitch | Glitch | Come Back...Be Here (Taylor's Version) | Superstar (Taylor’s Version) | Daylight | Haunted | I Wish You Would - Voice Memo
19,"The Albatross | Now That We Don't Talk (Taylor's Version) (From The Vault) | Now That We Don't Talk (Taylor's Version) (From The Vault) | I Can See You (Taylor’s Version) (From The Vault) | Would've, Could've, Should've | Would've, Could've, Should've | Girl At Home (Taylor's Version) | The Other Side Of The Door (Taylor’s Version) | Never Grow Up | Blank Space - Voice Memo"
20,Chloe or Sam or Sophia or Marcus | Suburban Legends (Taylor's Version) (From The Vault) | Suburban Legends (Taylor's Version) (From The Vault) | Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault) | Dear Reader | Dear Reader | State Of Grace (Acoustic Version) (Taylor's Version) | Today Was A Fairytale (Taylor’s Version) | Treacherous
21,How Did It End? | Is It Over Now? (Taylor's Version) (From The Vault) | Is It Over Now? (Taylor's Version) (From The Vault) | Foolish One (Taylor’s Version) (From The Vault) | Hits Different | Ronan (Taylor's Version) | You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault) | Babe
22,So High School | Bad Blood (feat. Kendrick Lamar) (Taylor's Version) | Timeless (Taylor’s Version) (From The Vault) | Snow On The Beach (feat. More Lana Del Rey) | Better Man (Taylor's Version) (From The Vault) | Mr. Perfectly Fine (Taylor’s Version) (From The Vault) | Welcome To New York
23,I Hate It Here | Karma (feat. Ice Spice) | Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault) | We Were Happy (Taylor’s Version) (From The Vault) | Fearless
24,thanK you aIMee | Babe (Taylor's Version) (From The Vault) | That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault) | Enchanted
25,I Look in People's Windows | Message In A Bottle (Taylor's Version) (From The Vault) | Don’t You (Taylor’s Version) (From The Vault) | Change
26,The Prophecy | I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault) | Bye Bye Baby (Taylor’s Version) (From The Vault) | Ours
27,Cassandra | Forever Winter (Taylor's Version) (From The Vault) | Out Of The Woods
28,Peter | Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault) | Come Back...Be Here
29,The Bolter | The Very First Night (Taylor's Version) (From The Vault) | A Place in this World
30,Robin | All Too Well (10 Minute Version) (Taylor's Version) (From The Vault) | This Love
31,The Manuscript | The Lucky One
32,Invisible
33,Breathe
34,Better Man
35,Jump Then Fall
36,Begin Again
37,Tied Together with a Smile
38,The Story Of Us
39,Forever & Always
40,Hey Stephen
41,Speak Now
42,Wonderland
43,White Horse
44,I'm Only Me When I'm With You
45,Starlight
46,I Know Places
